run,epsilon,gamma,round,accuracy
5,2,0.006,2,0.4172
5,2,0.006,3,0.6734
5,2,0.006,4,0.682
5,2,0.006,5,0.7073
5,2,0.006,6,0.8018
5,2,0.006,7,0.8287
5,2,0.006,8,0.8517
5,2,0.006,9,0.8565
5,2,0.006,10,0.8829
5,2,0.006,11,0.8865
5,2,0.006,12,0.891
5,2,0.006,13,0.899
5,2,0.006,14,0.9017
1,4,0,1,0.0835
1,4,0,2,0.5777
1,4,0,3,0.6364
1,4,0,4,0.6507
1,4,0,5,0.7236
1,4,0,6,0.7938
1,4,0,7,0.9022
1,4,0,8,0.9156
1,4,0,9,0.9232
1,4,0,10,0.9261
1,4,0,11,0.9295
1,4,0,12,0.9311
1,4,0,13,0.9341
1,4,0,14,0.9364
1,4,0,15,0.9396
1,4,0,16,0.9389
1,4,0,17,0.9432
1,4,0,18,0.9444
1,4,0,19,0.9419
2,4,0,1,0.0927
2,4,0,2,0.3873
2,4,0,3,0.6411
2,4,0,4,0.6959
2,4,0,5,0.7095
2,4,0,6,0.709
2,4,0,7,0.7147
2,4,0,8,0.7178
2,4,0,9,0.7227
2,4,0,10,0.723
2,4,0,11,0.7264
2,4,0,12,0.7231
2,4,0,13,0.7298
2,4,0,14,0.7311
2,4,0,15,0.7312
2,4,0,16,0.7353
2,4,0,17,0.7392
2,4,0,18,0.7372
2,4,0,19,0.7402
3,4,0,1,0.0948
3,4,0,2,0.6003
3,4,0,3,0.6524
3,4,0,4,0.6596
3,4,0,5,0.6637
3,4,0,6,0.6654
3,4,0,7,0.6649
3,4,0,8,0.6677
3,4,0,9,0.6701
3,4,0,10,0.7378
3,4,0,11,0.7434
3,4,0,12,0.7487
3,4,0,13,0.7483
3,4,0,14,0.7526
3,4,0,15,0.754
3,4,0,16,0.7544
3,4,0,17,0.7553
3,4,0,18,0.7571
3,4,0,19,0.7588
4,4,0,1,0.0906
4,4,0,2,0.5841
4,4,0,3,0.7331
4,4,0,4,0.8691
4,4,0,5,0.8928
4,4,0,6,0.9012
4,4,0,7,0.9077
4,4,0,8,0.917
4,4,0,9,0.9231
4,4,0,10,0.9244
4,4,0,11,0.9238
4,4,0,12,0.9307
4,4,0,13,0.9314
4,4,0,14,0.9372
4,4,0,15,0.9378
4,4,0,16,0.9437
4,4,0,17,0.9459
4,4,0,18,0.9473
4,4,0,19,0.9479
5,4,0,1,0.0889
5,4,0,2,0.4723
5,4,0,3,0.7396
5,4,0,4,0.8132
5,4,0,5,0.8391
5,4,0,6,0.842
5,4,0,7,0.8451
5,4,0,8,0.8483
5,4,0,9,0.8499
5,4,0,10,0.8556
5,4,0,11,0.8557
5,4,0,12,0.9278
5,4,0,13,0.9321
5,4,0,14,0.9329
5,4,0,15,0.9369
5,4,0,16,0.9391
5,4,0,17,0.94
5,4,0,18,0.9405
5,4,0,19,0.9454
1,4,0.002,1,0.0789
1,4,0.002,2,0.6135
1,4,0.002,3,0.7461
1,4,0.002,4,0.8707
1,4,0.002,5,0.8945
1,4,0.002,6,0.9049
1,4,0.002,7,0.9149
1,4,0.002,8,0.9153
1,4,0.002,9,0.9235
1,4,0.002,10,0.9266
1,4,0.002,11,0.9316
1,4,0.002,12,0.9346
1,4,0.002,13,0.935
1,4,0.002,14,0.9384
1,4,0.002,15,0.9406
1,4,0.002,16,0.9406
1,4,0.002,17,0.9378
1,4,0.002,18,0.9454
1,4,0.002,19,0.9437
2,4,0.002,1,0.095
2,4,0.002,2,0.4314
2,4,0.002,3,0.7228
2,4,0.002,4,0.7969
2,4,0.002,5,0.8935
2,4,0.002,6,0.9025
2,4,0.002,7,0.913
2,4,0.002,8,0.9127
2,4,0.002,9,0.9183
2,4,0.002,10,0.9214
2,4,0.002,11,0.93
2,4,0.002,12,0.9303
2,4,0.002,13,0.9356
2,4,0.002,14,0.9383
2,4,0.002,15,0.9295
2,4,0.002,16,0.9434
2,4,0.002,17,0.935
2,4,0.002,18,0.9397
2,4,0.002,19,0.9423
3,4,0.002,1,0.1067
3,4,0.002,2,0.4997
3,4,0.002,3,0.6637
3,4,0.002,4,0.7521
3,4,0.002,5,0.8053
3,4,0.002,6,0.883
3,4,0.002,7,0.8866
3,4,0.002,8,0.9055
3,4,0.002,9,0.9101
3,4,0.002,10,0.9195
3,4,0.002,11,0.9187
