run,epsilon,gamma,round,accuracy,detection_accuracy
1,2,0.002,2,0.4809,0.4
1,2,0.002,3,0.7506,0.2
1,2,0.002,4,0.8285,0.2
1,2,0.002,5,0.8774,0.4
1,2,0.002,6,0.8878,0.4
1,2,0.002,7,0.891,0.4
1,2,0.002,8,0.8916,0.2
1,2,0.002,9,0.9086,0.6
1,2,0.002,10,0.9029,0.2
1,2,0.002,11,0.9106,0.0
1,2,0.002,12,0.9049,0.6
1,2,0.002,13,0.9155,0.2
1,2,0.002,14,0.9015,0.8
2,2,0.002,1,0.1211,0.4
2,2,0.002,2,0.513,0.2
2,2,0.002,3,0.6842,0.4
2,2,0.002,4,0.7339,0.6
2,2,0.002,5,0.7941,0.6
2,2,0.002,6,0.8166,0.6
2,2,0.002,7,0.8136,0.0
2,2,0.002,8,0.825,0.2
2,2,0.002,9,0.8221,0.4
2,2,0.002,10,0.8194,0.4
2,2,0.002,11,0.8267,0.6
2,2,0.002,12,0.86,0.0
2,2,0.002,13,0.9126,0.4
2,2,0.002,14,0.9137,0.4
3,2,0.002,1,0.0788,0.6
3,2,0.002,2,0.2866,0.2
3,2,0.002,3,0.5154,0.2
3,2,0.002,4,0.537,0.6
3,2,0.002,5,0.694,0.6
3,2,0.002,6,0.7177,0.4
3,2,0.002,7,0.7208,0.2
3,2,0.002,8,0.7443,0.6
3,2,0.002,9,0.7519,0.2
3,2,0.002,10,0.7866,0.4
3,2,0.002,11,0.8068,0.4
3,2,0.002,12,0.8185,0.0
3,2,0.002,13,0.8244,0.4
3,2,0.002,14,0.8155,0.4
4,2,0.002,1,0.1061,0.2
4,2,0.002,2,0.3335,0.6
4,2,0.002,3,0.5052,0.4
4,2,0.002,4,0.6651,0.4
4,2,0.002,5,0.7079,0.6
4,2,0.002,6,0.7769,0.2
4,2,0.002,7,0.7885,0.4
4,2,0.002,8,0.8137,0.4
4,2,0.002,9,0.8132,0.4
4,2,0.002,10,0.8255,0.2
4,2,0.002,11,0.8219,0.4
4,2,0.002,12,0.8248,0.4
4,2,0.002,13,0.8342,0.4
4,2,0.002,14,0.8325,0.4
5,2,0.002,1,0.0791,0.0
5,2,0.002,2,0.4089,0.4
5,2,0.002,3,0.6907,0.4
5,2,0.002,4,0.7819,0.4
5,2,0.002,5,0.8057,0.2
5,2,0.002,6,0.8126,0.2
5,2,0.002,7,0.8177,0.4
5,2,0.002,8,0.8174,0.2
5,2,0.002,9,0.8285,0.6
5,2,0.002,10,0.8298,0.2
5,2,0.002,11,0.83,0.0
5,2,0.002,12,0.9095,0.0
5,2,0.002,13,0.9154,0.0
5,2,0.002,14,0.8865,0.4
1,2,0.004,1,0.1004,0.2
1,2,0.004,2,0.4422,0.6
1,2,0.004,3,0.7874,1.0
1,2,0.004,4,0.8644,0.6
1,2,0.004,5,0.8876,0.8
1,2,0.004,6,0.8871,0.6
1,2,0.004,7,0.9095,0.8
1,2,0.004,8,0.907,0.6
1,2,0.004,9,0.9129,0.6
1,2,0.004,10,0.9215,0.6
1,2,0.004,11,0.9214,0.6
1,2,0.004,12,0.9235,0.8
1,2,0.004,13,0.9275,0.6
1,2,0.004,14,0.9234,0.6
2,2,0.004,1,0.0963,0.8
2,2,0.004,2,0.2854,0.6
2,2,0.004,3,0.6831,0.4
2,2,0.004,4,0.6996,0.4
2,2,0.004,5,0.7153,0.6
2,2,0.004,6,0.7096,1.0
2,2,0.004,7,0.7156,0.4
2,2,0.004,8,0.7212,0.8
2,2,0.004,9,0.7303,0.6
2,2,0.004,10,0.7379,0.8
2,2,0.004,11,0.7385,0.6
2,2,0.004,12,0.736,0.4
2,2,0.004,13,0.7407,0.4
2,2,0.004,14,0.7328,0.8
3,2,0.004,1,0.1026,0.6
3,2,0.004,2,0.5263,0.6
3,2,0.004,3,0.6874,1.0
3,2,0.004,4,0.7828,0.6
3,2,0.004,5,0.8839,0.6
3,2,0.004,6,0.8864,0.4
3,2,0.004,7,0.8771,0.4
3,2,0.004,8,0.8916,0.6
3,2,0.004,9,0.8856,0.8
3,2,0.004,10,0.9047,0.2
3,2,0.004,11,0.8774,0.8
3,2,0.004,12,0.9048,0.8
3,2,0.004,13,0.9038,0.4
3,2,0.004,14,0.9167,0.8
4,2,0.004,1,0.0558,0.8
4,2,0.004,2,0.4475,0.4
4,2,0.004,3,0.7278,0.4
4,2,0.004,4,0.7841,0.8
4,2,0.004,5,0.7468,0.6
4,2,0.004,6,0.8131,0.8
4,2,0.004,7,0.8247,0.8
4,2,0.004,8,0.8316,0.6
4,2,0.004,9,0.8229,1.0
4,2,0.004,10,0.8374,0.4
4,2,0.004,11,0.841,0.6
4,2,0.004,12,0.8359,1.0
4,2,0.004,13,0.8423,0.8
4,2,0.004,14,0.8471,0.4
5,2,0.004,1,0.0899,0.6
5,2,0.004,2,0.3595,0.6
5,2,0.004,3,0.6504,0.6
5,2,0.004,4,0.847,0.6
5,2,0.004,5,0.8864,0.8
5,2,0.004,6,0.901,0.6
5,2,0.004,7,0.9075,0.6
5,2,0.004,8,0.9076,0.6
5,2,0.004,9,0.9165,0.8
5,2,0.004,10,0.917,0.8
5,2,0.004,11,0.9205,0.8
5,2,0.004,12,0.929,0.8
5,2,0.004,13,0.928,0.6
5,2,0.004,14,0.9273,0.6
1,2,0.006,1,0.0982,1.0
1,2,0.006,2,0.4003,1.0
1,2,0.006,3,0.7375,1.0
1,2,0.006,4,0.8842,1.0
1,2,0.006,5,0.8807,0.8
1,2,0.006,6,0.9039,0.8
1,2,0.006,7,0.9001,1.0
1,2,0.006,8,0.9098,0.8
1,2,0.006,9,0.9184,1.0
1,2,0.006,10,0.9209,0.8
1,2,0.006,11,0.9255,1.0
1,2,0.006,12,0.9263,0.8
1,2,0.006,13,0.9192,0.8
1,2,0.006,14,0.9202,0.6
2,2,0.006,1,0.0988,1.0
2,2,0.006,2,0.4301,0.8
2,2,0.006,3,0.5976,1.0
2,2,0.006,4,0.7252,0.8
2,2,0.006,5,0.7752,0.8
2,2,0.006,6,0.7935,1.0
2,2,0.006,7,0.7941,1.0
2,2,0.006,8,0.7993,0.6
2,2,0.006,9,0.7984,1.0
2,2,0.006,10,0.8069,1.0
2,2,0.006,11,0.8154,0.8
2,2,0.006,12,0.9168,0.8
2,2,0.006,13,0.9282,1.0
2,2,0.006,14,0.9232,1.0
3,2,0.006,1,0.1035,1.0
3,2,0.006,2,0.337,1.0
3,2,0.006,3,0.6524,1.0
3,2,0.006,4,0.7403,1.0
3,2,0.006,5,0.8787,1.0
3,2,0.006,6,0.9081,1.0
3,2,0.006,7,0.8964,0.8
3,2,0.006,8,0.9136,1.0
3,2,0.006,9,0.923,0.8
3,2,0.006,10,0.9165,1.0
3,2,0.006,11,0.9118,0.8
3,2,0.006,12,0.9169,1.0
3,2,0.006,13,0.925,1.0
3,2,0.006,14,0.9322,0.8
4,2,0.006,1,0.0784,1.0
4,2,0.006,2,0.4081,0.8
4,2,0.006,3,0.7629,0.8
4,2,0.006,4,0.8506,1.0
4,2,0.006,5,0.8939,0.8
4,2,0.006,6,0.9044,1.0
4,2,0.006,7,0.9014,1.0
4,2,0.006,8,0.8954,1.0
4,2,0.006,9,0.9157,0.8
4,2,0.006,10,0.9139,0.8
4,2,0.006,11,0.9256,1.0
4,2,0.006,12,0.9249,0.8
4,2,0.006,13,0.9328,1.0
4,2,0.006,14,0.93,1.0
5,2,0.006,1,0.093,0.8
5,2,0.006,2,0.3737,0.6
5,2,0.006,3,0.5438,1.0
5,2,0.006,4,0.7423,1.0
5,2,0.006,5,0.7646,1.0
5,2,0.006,6,0.8036,0.8
5,2,0.006,7,0.8158,1.0
5,2,0.006,8,0.908,1.0
5,2,0.006,9,0.914,1.0
5,2,0.006,10,0.9193,0.8
5,2,0.006,11,0.9074,0.8
5,2,0.006,12,0.9238,1.0
5,2,0.006,13,0.9192,0.8
5,2,0.006,14,0.9271,0.8
1,4,0,1,0.1299,0.2
1,4,0,2,0.5109,0.0
1,4,0,3,0.725,0.0
1,4,0,4,0.7911,0.4
1,4,0,5,0.795,0.0
1,4,0,6,0.8045,0.0
1,4,0,7,0.8084,0.4
1,4,0,8,0.8175,0.2
1,4,0,9,0.8163,0.0
1,4,0,10,0.8153,0.4
1,4,0,11,0.8234,0.0
1,4,0,12,0.8202,0.0
1,4,0,13,0.8294,0.2
1,4,0,14,0.8274,0.0
1,4,0,15,0.8335,0.2
1,4,0,16,0.8339,0.2
1,4,0,17,0.8348,0.0
1,4,0,18,0.8377,0.4
1,4,0,19,0.8388,0.2
2,4,0,1,0.0879,0.0
2,4,0,2,0.5361,0.0
2,4,0,3,0.724,0.0
2,4,0,4,0.7596,0.2
2,4,0,5,0.7816,0.4
2,4,0,6,0.7998,0.0
2,4,0,7,0.8688,0.2
2,4,0,8,0.8895,0.0
2,4,0,9,0.9037,0.2
2,4,0,10,0.9099,0.4
2,4,0,11,0.9141,0.6
2,4,0,12,0.9202,0.2
2,4,0,13,0.9172,0.0
2,4,0,14,0.9187,0.4
2,4,0,15,0.9377,0.4
2,4,0,16,0.9399,0.0
2,4,0,17,0.9418,0.0
2,4,0,18,0.9459,0.2
2,4,0,19,0.9466,0.2
3,4,0,1,0.0935,0.0
3,4,0,2,0.5966,0.6
3,4,0,3,0.8329,0.4
3,4,0,4,0.8961,0.2
3,4,0,5,0.9023,0.0
3,4,0,6,0.9163,0.0
3,4,0,7,0.9168,0.0
3,4,0,8,0.9242,0.2
3,4,0,9,0.9273,0.0
3,4,0,10,0.9295,0.2
3,4,0,11,0.9322,0.0
3,4,0,12,0.9345,0.0
3,4,0,13,0.9381,0.0
3,4,0,14,0.9401,0.2
3,4,0,15,0.9421,0.4
3,4,0,16,0.9457,0.0
3,4,0,17,0.9448,0.4
3,4,0,18,0.9441,0.2
3,4,0,19,0.9506,0.6
4,4,0,1,0.1051,0.0
4,4,0,2,0.6196,0.0
4,4,0,3,0.7785,0.0
4,4,0,4,0.8771,0.0
4,4,0,5,0.906,0.0
4,4,0,6,0.9133,0.2
4,4,0,7,0.9153,0.0
4,4,0,8,0.9172,0.2
4,4,0,9,0.9241,0.0
4,4,0,10,0.9291,0.2
4,4,0,11,0.9304,0.0
4,4,0,12,0.9316,0.2
4,4,0,13,0.9387,0.4
4,4,0,14,0.9354,0.0
4,4,0,15,0.9378,0.2
4,4,0,16,0.9401,0.2
4,4,0,17,0.9417,0.2
4,4,0,18,0.9426,0.0
4,4,0,19,0.9436,0.2
5,4,0,1,0.1155,0.0
5,4,0,2,0.582,0.4
5,4,0,3,0.8338,0.0
5,4,0,4,0.8849,0.4
5,4,0,5,0.9039,0.2
5,4,0,6,0.9075,0.4
5,4,0,7,0.9161,0.4
5,4,0,8,0.9226,0.0
5,4,0,9,0.921,0.2
5,4,0,10,0.9286,0.0
5,4,0,11,0.9273,0.4
5,4,0,12,0.931,0.2
5,4,0,13,0.9359,0.2
5,4,0,14,0.9365,0.4
5,4,0,15,0.943,0.2
5,4,0,16,0.9402,0.0
5,4,0,17,0.9456,0.0
5,4,0,18,0.9443,0.0
5,4,0,19,0.9502,0.2
1,4,0.002,1,0.06,0.0
1,4,0.002,2,0.5115,0.4
1,4,0.002,3,0.7105,0.6
1,4,0.002,4,0.8079,0.4
1,4,0.002,5,0.8371,0.2
1,4,0.002,6,0.9066,0.6
1,4,0.002,7,0.9113,0.4
1,4,0.002,8,0.9174,0.6
1,4,0.002,9,0.9274,0.2
1,4,0.002,10,0.9283,0.2
1,4,0.002,11,0.931,0.4
1,4,0.002,12,0.9298,0.6
1,4,0.002,13,0.9345,0.4
1,4,0.002,14,0.9406,0.0
1,4,0.002,15,0.9385,0.0
1,4,0.002,16,0.9426,0.4
1,4,0.002,17,0.9423,0.2
1,4,0.002,18,0.9426,0.0
1,4,0.002,19,0.9416,0.4
2,4,0.002,1,0.124,0.4
2,4,0.002,2,0.5006,0.4
2,4,0.002,3,0.6353,0.4
2,4,0.002,4,0.664,0.4
2,4,0.002,5,0.7436,0.6
2,4,0.002,6,0.8501,0.4
2,4,0.002,7,0.891,0.4
2,4,0.002,8,0.8903,0.2
2,4,0.002,9,0.9172,0.4
2,4,0.002,10,0.9224,0.2
2,4,0.002,11,0.9311,0.2
2,4,0.002,12,0.9312,0.6
2,4,0.002,13,0.9282,0.4
2,4,0.002,14,0.9376,0.4
2,4,0.002,15,0.9379,0.2
2,4,0.002,16,0.9416,0.6
2,4,0.002,17,0.9428,0.2
2,4,0.002,18,0.943,0.2
2,4,0.002,19,0.9453,0.2
3,4,0.002,1,0.0989,0.6
3,4,0.002,2,0.5089,0.0
3,4,0.002,3,0.6804,0.2
3,4,0.002,4,0.7866,0.4
3,4,0.002,5,0.8204,0.2
3,4,0.002,6,0.816,0.6
3,4,0.002,7,0.836,0.4
3,4,0.002,8,0.8369,0.4
3,4,0.002,9,0.8411,0.4
3,4,0.002,10,0.8381,0.2
3,4,0.002,11,0.8399,0.4
3,4,0.002,12,0.8467,0.4
3,4,0.002,13,0.8489,0.4
3,4,0.002,14,0.8503,0.2
3,4,0.002,15,0.8523,0.2
3,4,0.002,16,0.8539,0.2
3,4,0.002,17,0.8561,0.4
3,4,0.002,18,0.854,0.6
3,4,0.002,19,0.8553,0.4
4,4,0.002,1,0.1212,0.4
4,4,0.002,2,0.4842,0.4
4,4,0.002,3,0.8339,0.4
4,4,0.002,4,0.8875,0.4
4,4,0.002,5,0.8957,0.2
4,4,0.002,6,0.9099,0.2
4,4,0.002,7,0.9162,0.6
4,4,0.002,8,0.9214,0.4
4,4,0.002,9,0.925,0.0
4,4,0.002,10,0.925,0.0
4,4,0.002,11,0.9298,0.0
4,4,0.002,12,0.9315,0.4
4,4,0.002,13,0.9245,0.6
4,4,0.002,14,0.9399,0.0
4,4,0.002,15,0.9404,0.0
4,4,0.002,16,0.9381,0.6
4,4,0.002,17,0.9378,0.6
4,4,0.002,18,0.9419,0.8
4,4,0.002,19,0.9466,0.6
5,4,0.002,1,0.1079,0.2
5,4,0.002,2,0.5126,0.8
5,4,0.002,3,0.7132,0.2
5,4,0.002,4,0.8201,0.2
5,4,0.002,5,0.8365,0.4
5,4,0.002,6,0.8415,0.6
5,4,0.002,7,0.8449,0.0
5,4,0.002,8,0.8483,0.2
5,4,0.002,9,0.9127,0.0
5,4,0.002,10,0.9222,0.0
5,4,0.002,11,0.9248,0.4
5,4,0.002,12,0.9273,0.4
5,4,0.002,13,0.9298,0.4
5,4,0.002,14,0.933,0.4
5,4,0.002,15,0.9388,0.4
5,4,0.002,16,0.9398,0.6
5,4,0.002,17,0.9427,0.4
5,4,0.002,18,0.9438,0.2
5,4,0.002,19,0.9455,0.2
1,4,0.004,1,0.1046,0.4
1,4,0.004,2,0.3802,0.8
1,4,0.004,3,0.6881,0.8
1,4,0.004,4,0.7863,0.6
1,4,0.004,5,0.809,0.6
1,4,0.004,6,0.8249,0.6
1,4,0.004,7,0.8277,0.6
1,4,0.004,8,0.8296,0.6
1,4,0.004,9,0.8351,0.0
1,4,0.004,10,0.8453,0.6
